Topic,Source,Last Updated,Question,Answer
,World Health Organization,3/29/2021,What should I do if I have been exposed to someone who has COVID-19?,"If you have been exposed to someone with COVID-19, you may become infected, even if you feel well. After exposure to someone who has COVID-19, do the following: Call your health care provider or COVID-19 hotline to find out where and when to get a test. Cooperate with contact-tracing procedures to stop the spread of the virus. If testing is not available, stay home and away from others for 14 days. While you are in quarantine, do not go to work, to school or to public places. Ask someone to bring you supplies. Keep at least a 1-metre distance from others, even from your family members. Wear a medical mask to protect others, including if/when you need to seek medical care. Clean your hands frequently. Stay in a separate room from other family members, and if not possible, wear a medical mask. Keep the room well-ventilated. If you share a room, place beds at least 1 metre apart. Monitor yourself for any symptoms for 14 days. Stay positive by keeping in touch with loved ones by phone or online, and by exercising at home. If you live in an area with malaria or dengue fever, seek medical help if you have a fever. While travelling to and from the health facility and during medical care, wear a mask, keep at least a 1-metre distance from other people and avoid touching surfaces with your hands. This applies to adults and children."
,World Health Organization,3/29/2021,How long does it take to develop symptoms?,"The time from exposure to COVID-19 to the moment when symptoms begin is, on average, 5-6 days and can range from 1-14 days. This is why people who have been exposed to the virus are advised to remain at home and stay away from others, for 14 days, in order to prevent the spread of the virus, especially where testing is not easily available."
,World Health Organization,3/29/2021,What should I do if I have COVID-19 symptoms?,"If you have any symptoms suggestive of COVID-19, call your health care provider or COVID-19 hotline for instructions and find out when and where to get a test, stay at home for 14 days away from others and monitor your health. If you have shortness of breath or pain or pressure in the chest, seek medical attention at a health facility immediately. Call your health care provider or hotline in advance for direction to the right health facility. If you live in an area with malaria or dengue fever, seek medical care if you have a fever.If local guidance recommends visiting a medical centre for testing, assessment or isolation, wear a medical mask while travelling to and from the facility and during medical care.Also keep at least a 1-metre distance from other people and avoid touching surfaces with your hands. This applies to adults and children."
,World Health Organization,3/29/2021,Are there treatments for COVID-19?,"Scientists around the world are working to find and develop treatments for COVID-19. Optimal supportive care includes oxygen for severely ill patients and those who are at risk for severe disease and more advanced respiratory support such as ventilation for patients who are critically ill. Dexamethasone is a corticosteroid that can help reduce the length of time on a ventilator and save lives of patients with severe and critical illness. Results from the WHOs Solidarity Trial indicated that remdesivir, hydroxychloroquine, lopinavir/ritonavir and interferon regimens appear to have little or no effect on 28-day mortality or the in-hospital course of COVID-19 among hospitalized patients. Hydroxychloroquine has not been shown to offer any benefit for treatment of COVID-19. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. "
,World Health Organization,3/29/2021,Are antibiotics effective in preventing or treating COVID-19?,"Antibiotics do not work against viruses; they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19.In hospitals, physicians will sometimes use antibiotics to prevent or treat secondary bacterial infections which can be a complication of COVID-19 in severely ill patients. They should only be used as directed by a physician to treat a bacterial infection."
,World Health Organization,3/29/2021,Can adolescents catch COVID-19?,"Yes. All age groups can catch COVID-19.While we are still learning about how COVID-19 affects people, so far, data suggests that children under the age of 18 years have few deaths compared to other age groups and usually mild disease. However, cases of critical illness have been reported. As with adults, pre-existing medical problems like high blood pressure, heart and lung problems, asthma, diabetes, obesity, cancer and neurological and developmental conditions are risk factors for severe disease and intensive care admission in children."
,World Health Organization,3/29/2021,Can adolescents spread COVID-19 to other people even if they have mild or no symptoms?,"Yes. Infected people in all age groups including adolescents - can transmit the virus to other people, even if they have mild symptoms or do not feel ill. The virus is spread from person to person through liquid particles such as aerosols (smaller) and droplets (larger) from the nose or mouth which are spread when a person with COVID-19 coughs, sneezes or speaks. People can catch COVID-19 if they breathe in these droplets from an adolescent infected with the virus. Therefore, it is important to stay at least 1 meter away from others. These droplets can land on objects and surfaces. People can then become infected by touching these objects or surfaces, and then touching their eyes, nose or mouth."
,World Health Organization,3/29/2021,"Since there are few known cases of adolescents getting seriously ill with COVID-19, should I go to a health facility if I develop symptoms of the disease?","If you have any symptoms suggestive of COVID-19, contact your health care provider or COVID-19 hotline for instructions and find out what to do. If you have minor symptoms, such as a slight cough or a mild fever, and no risk factors for severe disease there is generally no need to go to a health care facility. Your health provider will assess the situation and give instructions when and where to get a test, stay at home for 14 days away from others and monitor your health. Seek medical care immediately if your health gets worse, or if there is no one in your family that can take care of you at home. If possible, call your health care provider, hotline or health facility first, so you can be directed to the right clinic. It is important that you follow the procedures put in place by your country. Ask a family member or another trusted adult how you can find out what these procedures are where you live."
,World Health Organization,3/29/2021,What should I do if someone in my family gets really ill with COVID-19?,"Immediately seek medical care if a member of your family gets seriously ill, for example develops difficulty breathing or feels pain or pressure in the chest. If possible, either you or an adult should contact your health care provider or COVID-19 hotline for instructions and find out where and how you could get care. If your family member is confirmed as having COVID-19, you must be prepared that you and other known contacts will need to isolate for 14 days and monitor symptoms, even if you feel healthy."
,World Health Organization,3/29/2021,"I was due to get vaccinated for HPV, meningitis or tetanus, but immunization services have been disrupted. Should I be concerned?","WHO recommends that countries continue routine immunization services wherever feasible. For example, school-based vaccination initiatives should continue only if infection prevention and control measures are implemented to avoid increased risk of transmission of the COVID-19 virus among the students, school personnel and health care providers. However, vaccines provided to adolescents have sufficiently flexible schedules to make sure you can get the vaccine in time when vaccination services start again. For example, the HPV vaccine that requires two doses can be started any time between 9 and 14 years of age and the interval between the two doses can be longer. The minimum interval between doses is 6 months, but it can be 12 or 15 months and, if necessary, even longer. It is most important that you receive the second dose at some point in time to be fully protected.Decisions to continue routine vaccination services are made by each country. Ask a family member or another trusted adult how you can get information about vaccination services where you live. It is important you get the vaccines you are supposed to get, even if they have to be delayed due to the COVID-19 pandemic. "
,World Health Organization,3/29/2021,I am on medication for a chronic health condition. Should I change anything?,"For people with chronic conditions such as such as asthma, diabetes, TB and HIV the most important thing is to continue your medication as prescribed, attend recommended check-ups and seek medical help if you have new symptoms. Check with your health authorities and health provider if your regular check-ups should be done differently during the COVID-19 pandemic. Some services, such as counselling, may be available remotely. For treatment of clinically stable adolescents with HIV and adolescents with TB and/or other chronic conditions, your health provider should consider multi-month prescriptions and dispensing which will reduce the frequency of your visits to the clinic and ensure continuity of treatment, if movements are disrupted during the pandemic. Seek advice from your health authorities and health care provider on how to be protected from COVID-19 and continue your treatment as prescribed."
,World Health Organization,3/29/2021,"I know there is a risk of getting COVID-19, but can I still play sports?","Yes. You can play sports that are in line with the physical distancing measures and movement restrictions that are in place in your country. If you are able to go for a bicycle ride, or if you go to a park or public open space to walk, run or exercise always practice physical distancing and wash your hands with water and soap before you leave, when you get to where you are going, and as soon as you get home. If water and soap are not immediately available, use alcohol-based hand rub. Being physically active is good for your health, both physical and mental. Set up a regular routine to practice activities or sports that do not require close contact with others every day for 1 hour. You can do individual sports, like jogging, walking, dancing or yoga. There are many options to try. You can set up playground games indoors, such as jump rope and hop-scotch, play with your brothers and sisters, and practice some strength training activities, using improvised weights like bottles full of water or sand. If you have access to the internet, you can also join in online active games or fitness classes, or set up your own online physical exercises with your friends or classmates. Find an activity that is fun, can be done within the restrictions that are in place in your country, and makes you feel good.Do not exercise if you have a fever, cough and difficulty breathing.Stay home and rest, seek medical attention and follow the directions of your local health authority."
,World Health Organization,3/29/2021,Schools are reopening in some areas of my country. Is it safe to go back to school?,"A decision to reopen schools in every country and area is made based on careful assessment of the situation, with consensus among all the key parties involved, including the health and education policy-makers, teachers and other school staff, parents and health and community workers. In addition, reopening of schools is carefully planned and prepared, with all necessary measures in place to protect the safety and health of everyone in the school community. Therefore, if your school reopens, you should feel assured it is safe for you to go back to school provided that you strictly follow the guidelines and rules that will be provided by your school.Of course, if you have any concerns with going back to school, do not hesitate to speak out to your teachers and parents or guardians."
,World Health Organization,3/29/2021,What should I do if I missed out on my education due to the COVID-19 pandemic?,"Your school or place where you are studying are likely to make arrangements for you to catch up on what you have missed when your school was closed. Many schools have put in place accelerated learning modalities to help pupils catch up on learning loss. If your school is still closed, and you cannot attend classes in person, follow the procedures that your school has put in place to give you access to educational materials and technologies (internet, texting radio, radio, or television). If you have access to the internet, you can also consult your teachers and other trusted adults to identify and access reliable online learning opportunities and resources, including those included in thedistance learning solutions recommended by UNESCO, the United Nations agency that helps countries improve their education systems. In addition, UNESCO is collectingstories from students, teachers and parentsabout how they are coping and continuing to learn during school closures. Access those stories, they might inspire you. You can also contact UNESCO and share your story! Find out how to share it here.In places where internet connectivity is a problem, many governments have started to broadcast educational programmes on TV and radio channels during school closures. If you live in such a place, look out for educational programmes on your local TV and radio channels."
,World Health Organization,3/29/2021,Should I wear a mask at school or when playing sports?,"You should not wear a mask when playing sports or doing physical activities, such as running, jumping or playing on the playground, so that it doesn't compromise your breathing. However, remember to maintain at least a 1-metre distance from others, limit the number of friends playing together, and respect hand hygiene.Regarding wearing masks in schools and other public places, WHO advises that people always consult and abide by local authorities on recommended practices in their area. In countries or areas where there is intense community transmission of the virus and in settings where physical distancing cannot be achieved, WHO and UNICEF advise decision makers to apply the following criteria for use of masks in schools (either in classes, corridors or communal areas) when developing national policies: Children aged 5 years and under should not be required to wear masks. For children between six and 11 years of age, the decision to use a mask will vary from place to place, and will depend on several factors, such as the intensity of transmission in the area where the child lives, local norms that influence social interactions, the childs capacity to comply with the appropriate use of masks and availability of appropriate adult supervision, and other factors. Children and adolescents 12 years or older should follow the national mask guidelines for adults.Watch our How to wear a fabric mask video for a demonstration."
,World Health Organization,3/29/2021,When will this pandemic end so things can go back to normal?,"We don't know when the pandemic will end, but we know it depends on every persons contribution in helping stop the spread of the virus. The sacrifices you have made by not seeing your friends and by not going to school for a while, and other activities, are your contributions to fighting the pandemic. By putting societies and economies on hold, we have reduced the ability of the virus to spread through our communities. These defensive measures have helped to limit the damage the virus can cause, and bought us time to learn more about the virus and find solutions so that we can get back to a more familiar way of living. This is why it was possible to reopen schools and businesses in many places. It is important that you continue to practice the recommended measures and encourage your friends to do the same to prevent the situation from getting worse."
,World Health Organization,3/29/2021,What can we do so that other diseases like COVID-19 do not affect us in future?,"COVID-19 is a zoonotic disease which means that it existed naturally in animals before it spilled over to humans. Most new or emerging infectious diseases ”whether in wildlife, domestic animals, plants or people ” are driven by human activities that lead to environmental degradation. Human pressures, from deforestation, to intensive and polluting agricultural practices, to unsafe management and consumption of wildlife, increase the risk of new or emerging infectious diseases. This is why the number of emerging infectious disease outbreaks has increased steadily since 1980. To prevent the disastrous effects of emerging infectious diseases, we have to recognize that human health is intimately connected to the health of animals and our shared environment, and take action. Millions of young people have already mobilized to demand action not only on climate and biodiversity - but also for the right to breathe clean air, and for their future on a liveable planet. You can join them to add your voice and talents to this global movement:Read and disseminate the WHO Manifesto for a healthy recovery from COVID-19 by disseminating it and taking personal steps Support actions in your country to implement the 6 prescriptions of the WHO Manifesto for a healthy recovery from COVID-19."
,World Health Organization,3/29/2021,Can COVID-19 be passed through breastfeeding?,Transmission of active COVID-19 (virus that can cause infection) through breast milk and breastfeeding has not been detected to date. There is no reason to avoid or stop breastfeeding.
,World Health Organization,3/29/2021,"In communities where COVID-19 is prevalent, should mothers breastfeed?","Yes. In all socio-economic settings, breastfeeding improves survival and provides lifelong health and development advantages to newborns and infants. Breastfeeding also improves the health of mothers."
,World Health Organization,3/29/2021,"Following delivery, should a baby still be immediately placed skin-to-skin and breastfed if the mother is confirmed or suspected to have COVID-19?","Yes. Immediate and continued skin-to-skin care, including kangaroo mother care, improves the temperature control of newborns and is associated with improved survival among newborn babies. Placing the newborn close to the mother also enables early initiation of breastfeeding which alsoreduces mortality.The numerous benefits of skin-to-skin contact and breastfeeding substantially outweigh the potential risks of transmission and illness associated with COVID-19."
,World Health Organization,3/29/2021,Can women with confirmed or suspected COVID-19 breastfeed?,"Yes. Women with confirmed or suspected COVID-19 can breastfeed if they wish to do so. They should: Wash hands frequently with soap and water or use alcohol-based hand rub and especially before touching the baby; Wear a medical mask during any contact with the baby, including while feeding; Sneeze or cough into a tissue. Then dispose of it immediately and wash hands again; Routinely clean and disinfect surfaces that mothers have touched. It is important to replace medical masks as soon as they become damp and dispose of them immediately. Masks should not be reused or touched in the front."
,World Health Organization,3/29/2021,If a mother confirmed or suspected to have COVID-19 does not have a medical face mask should she still breastfeed?,"Yes. Breastfeeding unquestionably reduces mortality in newborns and infants and provides numerous lifelong health and brain development advantages to the child. Mothers with symptoms of COVID-19 are advised to wear a medical mask, but even if this is not possible, breastfeeding should be continued. Mothers should follow other infection prevention measures, such as washing hands, cleaning surfaces, sneezing or coughing into a tissue. Non-medical masks (e.g. home-made or cloth masks) have not been evaluated. At this time, it is not possible to make a recommendation for or against their use."
,World Health Organization,3/29/2021,I have confirmed or suspected COVID-19 and am too unwell to breastfeed my baby directly. What can I do?,"If you are too unwell to breastfeed your baby due to COVID-19 or other complications, you should be supported to safely provide your baby with breast milk in a way possible, available, and acceptable to you. This could include:Expressing milk; Donor human milk. If expressing breast milk or donor human milk are not feasible then consider wet nursing (another woman breastfeeds the child) or infant formula milk with measures to ensure that it is feasible, correctly prepared, safe and sustainable."
,World Health Organization,3/29/2021,"I had confirmed or suspected COVID-19 and was unable to breastfeed, when can I start to breastfeed again?",You can start to breastfeed when you feel well enough to do so. There is no fixed time interval to wait after confirmed or suspected COVID-19. There is no evidence that breastfeeding changes the clinical course of COVID-19 in a mother. Health workers or breastfeeding counsellors should support you to relactate.
,World Health Organization,3/29/2021,"I have confirmed or suspected COVID-19, is it safer to give my baby infant formula milk?","No. There are always risks associated with giving infant formula milk to newborns and infants in all settings. The risks associated with giving infant formula milk are increased whenever home and community conditions are compromised, such as reduced access to health services if a baby becomes unwell, reduced access to clean water and/oraccess to supplies of infant formula milk are difficult or not guaranteed, affordable and sustainable. The numerous benefits of breastfeeding substantially outweigh the potential risks of transmission and illness associated with the COVID-19 virus."
,World Health Organization,3/29/2021,Should children wear a mask?,"WHO advises that people always consult and abide by local authorities on recommended practices in their area. An international and multidisciplinary expert group brought together by WHO reviewed evidence on COVID-19 disease and transmission in children and the limited available evidence on the use of masks by children. Based on this and other factors such as childrens psychosocial needs and developmental milestones, WHO and UNICEF advise the following: Children aged 5 years and under should not be required to wear masks. This is based on the safety and overall interest of the child and the capacity to appropriately use a mask with minimal assistance. WHO and UNICEF advise that the decision to use masks for children aged 6-11 should be based on the following factors:Whether there is widespread transmission in the area where the child residesThe ability of the child to safely and appropriately use a maskAccess to masks, as well as laundering and replacement of masks in certain settings (such as schools and childcare services) Adequate adult supervision and instructions to the child on how to put on, take off and safely wear masksPotential impact of wearing a mask on learning and psychosocial development, in consultation with teachers, parents/caregivers and/or medical providersSpecific settings and interactions the child has with other people who are at high risk of developing serious illness, such as the elderly and those with other underlying health conditions WHO and UNICEF advise that children aged 12 and over should wear a mask under the same conditions as adults, in particular when they cannot guarantee at least a 1-metre distance from others and there is widespread transmission in the area.More on the types of masks, how to choose them, and how to wear them is available here: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-and-how-to-use-masks"
,World Health Organization,3/29/2021,Are there situations where children aged 5 years and under may wear or be required to wear a mask?,"In general, children aged 5 years and under should not be required to wear masks. This advice is based on the safety and overall interest of the child and the capacity to appropriately use a mask with minimal assistance. There may be local requirements for children aged 5 years and under to wear masks, or specific needs in some settings, such as being physically close to someone who is ill. In these circumstances, if the child wears a mask, a parent or other guardian should be within direct line of sight to supervise the safe use of the mask."
,World Health Organization,3/29/2021,Should children with developmental disabilities wear masks?,"The use of masks for children of any age with developmental disorders, disabilities or other specific health conditions should not be mandatory and be assessed on a case by case basis by the childs parent, guardian, educator and/or medical provider. In any case, children with severe cognitive or respiratory impairments with difficulties tolerating a mask should not be required to wear masks."
,World Health Organization,3/29/2021,Should children who have health issues or a medical condition that compromises their immune system wear a mask?,Children with underlying health conditions such as cystic fibrosis or cancer should wear a medical mask in consultation with their medical providers. A medical mask provides protection to the person wearing the mask and prevents transmission to others. It is recommended for anyone who has underlying health conditions that put them at greater risk of serious illness.
,World Health Organization,3/29/2021,What type of mask should children wear?,"Children who are in general good health can wear a non-medical or fabric mask. This provides source control, meaning it keeps the virus from being transmitted to others if they are infected and are not aware that they are infected. The adult who is providing the mask should ensure the fabric mask is the correct size and sufficiently covers the nose, mouth and chin of the child. Children with underlying health conditions such as cystic fibrosis, cancer or immunosuppression, should, in consultation with their medical providers, wear a medical mask. A medical mask controls spreading of the virus and protection to the wearer, and is recommended for anyone who is at higher risk of getting seriously ill from COVID-19."
,World Health Organization,3/29/2021,How should children wear a mask?,"Children should follow the same principles as adults for wearing masks. This includes cleaning hands at least 20 seconds if using an alcohol-based hand rub, or at least 40 seconds if using soap and water, before putting on the mask. Make sure the mask is the right size to cover the nose, mouth and chin. Children should be taught how to wear the mask properly, including not touching the front of the mask and not pulling it under the chin or into their mouth. They should store the mask in a bag or container, and not share the mask with others. More information, including videos on how to put on, take off and care for a mask, can be found here: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-and-how-to-use-masks"
,World Health Organization,3/29/2021,Should a child wear a mask at home?,"Any child who has symptoms suggestive of COVID-19 should wear a medical mask, as long as they can tolerate it. The child should be isolated, and medical advice sought as soon as they start to feel unwell, even if symptoms are mild. Family members/caregivers who come within 1 metre of the sick child at home should also wear a mask. A household member who is sick or has tested positive with the virus that causes COVID-19 should be isolated from everyone else if possible. If the child comes within 1 metre of the sick person at home, the adult and child should wear a medical mask during that time."
,World Health Organization,3/29/2021,Should teachers or other adults working with children wear a mask?,"In areas where there is widespread transmission, all adults under the age of 60 and who are in general good health should wear fabric masks when they cannot guarantee at least a 1-metre distance from others. This is particularly important for adults working with children who may have close contact with children and one another. Adults aged 60 or over, or who have any underlying health conditions such as heart disease, diabetes or lung cancer, should wear a medical mask because of their higher risk of getting seriously ill from COVID-19. More information, including videos on how to put on, take off and care for a mask, can be found here: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-and-how-to-use-masks"
,World Health Organization,3/29/2021,Should children wear a mask when playing sports or doing physical activities?,"Children should not wear a mask when playing sports or doing physical activities, such as running, jumping or playing on the playground, so that it doesnt compromise their breathing. When organizing these activities for children, it is important to encourage all other critical public health measures: maintaining at least a 1-metre distance from others, limiting the number of children playing together, providing access to hand hygiene facilities and encouraging their use."
,World Health Organization,3/29/2021,Are there alternatives to fabric masks such as face shields?,"In the context of COVID-19, some children may not be able to wear a mask due to disabilities or specific situations such as speech classes where the teacher needs to see their mouths. In these cases, face shields may be considered an alternative to masks, but they do not provide the equivalent protection in keeping the virus from being transmitted to others. If a decision is made to use a face shield, it should cover the entire face, wrap around the sides of the face and extend to below the chin. Caution should be taken while wearing one to avoid injuries that could break it and harm the eyes or face."
,World Health Organization,3/29/2021,What areas should be prioritized for disinfection in non-health care settings?,"Disinfection practices are important to reduce the potential for COVID-19 virus contamination in non-healthcare settings, such as in the home, office, schools, gyms, publicly accessible buildings, faith-based community centres, markets, transportation and business settings or restaurants. High-touch surfaces in these non-health care settings should be identified for priority disinfection such as door and window handles, kitchen and food preparation areas, counter tops, bathroom surfaces, toilets and taps, touchscreen personal devices, personal computer keyboards, and work surfaces."
,World Health Organization,3/29/2021,"Are gloves recommended for the community in public spaces to protect against COVID-19, for example when going to the grocery store supermarket?","No. The use of gloves by the public in public spaces is not a recommended or proven prevention measure. Wearing gloves in public spaces does not replace the need for hand hygiene, nor does it offer any additional measure of protection against the COVID-19 virus than hand hygiene. Gloves do not provide complete protection against hand contamination, as pathogens may gain access to the hands via small defects in gloves or by contamination of the hands during glove removal. People can also transfer pathogens from one surface to another by touching with gloved hands, or even transfer pathogens to the mouth, nose, or eyes if they touch their face with gloved hands."
,World Health Organization,3/29/2021,"How should I clean food items from the grocery store, for example fruit, vegetables or packaged items?","There is no evidence to date of viruses that cause respiratory illnesses being transmitted via food or food packaging. Coronaviruses cannot multiply in food; they need an animal or human host to multiply.The COVID-19 virus is generally thought to be spread from person to person through respiratory droplets. Currently, there is no evidence to support transmission of the COVID-19 virus associated with food. Before preparing or eating food it is important to always wash your hands with soap and water for at least 40-60 seconds. Regular food safety and handling guidance should be followed.See: https://www.who.int/activities/promoting-safe-food-handling. For food service businesses, please see the below guidance on COVID-19 and Food Safety: https://www.who.int/teams/risk-communication/food-and-agriculture-sectors."
,World Health Organization,3/29/2021,Where can I find the latest information on COVID-19?,"For the latest information on COVID-19, check regularly on the WHOs coronavirus pages: https://www.who.int/emergencies/diseases/novel-coronavirus-2019"
,World Health Organization,3/29/2021,Do weather and climate determine where COVID-19 occurs?,"No. There is currently no conclusive evidence that either weather (short term variations in meteorological conditions) or climate (long-term averages) have a strong influence on transmission. The SARS-CoV-2 virus which causes COVID-19 disease has been transmitted in all regions of the world, from cold and dry, to hot and humid climates. SARS-CoV-2 is thought to be mainly transmitted directly from person-to-person through close contact, or through respiratory droplets produced when an infected person coughs or sneezes. People may be infected by touching exposed surfaces, but this is not thought to be a major transmission route. While temperature and humidity may influence how long the virus survives outside of the human body, this effect is likely to be small compared to the degree of contact between people.Physical distancing and washing hands are therefore essential to breaking the chain of transmission, and are the most effective way to protect yourself, in all locations and all seasons of the year."
,World Health Organization,3/29/2021,Will climate change make COVID-19 worse?,"There is no evidence of a direct connection between climate change and the emergence or transmission of COVID-19 disease. As the disease is now well established in the human population, efforts should focus on reducing transmission and treating patients.However, climate change may indirectly affect the COVID-19 response, as it undermines environmental determinants of health, and places additional stress on health systems. More generally, most emerging infectious diseases, and almost all recent pandemics, originate in wildlife, and there is evidence that increasing human pressure on the natural environment may drive disease emergence. Strengthening health systems, improved surveillance of infectious disease in wildlife, livestock and humans, and greater protection of biodiversity and the natural environment, should reduce the risks of future outbreaks of other new diseases."
,World Health Organization,3/29/2021,Have measures to contain COVID-19 reduced air pollution and emissions of greenhouse gases?,"Air pollution is a serious health risk. It kills approximately 7 million people every year and is responsible for one third of all deaths from stroke, lung cancer and heart disease. Over 90% of the global population lives in places where the WHO outdoor air quality guideline levels are not met, and about two-thirds of this exposure is caused by burning of fossil fuels, which also drives climate change.Efforts to control COVID-19 transmission have reduced economic activity and led to temporary improvements in air quality in some areas. In contrast, as carbon dioxide and other greenhouse gases that drive climate change persist for a long time in the atmosphere, temporary emissions reductions only have a limited effect on atmospheric concentrations. Carbon dioxide levels at observing stations around the world in the first months of 2020 have been higher than in 2019.Environmental improvements resulting from the COVID-19 response may be reversed by a rapid expansion of polluting economic activities once the measures have ended, unless there is a clear focus to promote equity, environmental health, around a just transition to a green economy. Any short-term environmental benefits as a result of COVID-19 come at an unacceptable human and economic cost, and are no substitute for planned and sustained action on air quality and climate."
,World Health Organization,3/29/2021,What is contact tracing?,"Contact tracing is the process of identifying, assessing, and managing people who have been exposed to a disease to prevent onward transmission. These people are called contacts. Contact tracing for COVID-19 requires identifying people who may have been exposed to SARS-CoV-2, the virus that causes COVID-19, and following them daily for 14 days. The goal is to stop transmission of the virus by reducing the number of people who are circulating with the virus."
